takt;q1;q2;q1p;q2p
362;-1.000000;-1.000000;94.817001;-94.817001
363;-1.000000;-1.000000;94.925636;-94.925636
364;-1.000000;-1.000000;95.033157;-95.033157
365;-1.000000;-1.000000;95.139549;-95.139549
366;-1.000000;-1.000000;95.244820;-95.244820
367;-1.000000;-1.000000;95.348969;-95.348969
368;-1.000000;-1.000000;95.451988;-95.451988
369;-1.000000;-1.000000;95.553879;-95.553879
370;-1.000000;-1.000000;95.654640;-95.654640
371;-1.000000;-1.000000;95.754280;-95.754280
372;-1.000000;-1.000000;95.852783;-95.852783
373;-1.000000;-1.000000;95.950157;-95.950157
374;-1.000000;-1.000000;96.046394;-96.046394
375;-1.000000;-1.000000;96.141495;-96.141495
376;-1.000000;-1.000000;96.235466;-96.235466
377;-1.000000;-1.000000;96.328300;-96.328300
378;-1.000000;-1.000000;96.419998;-96.419998
379;-1.000000;-1.000000;96.510551;-96.510551
380;-1.000000;-1.000000;96.599968;-96.599968
381;-1.000000;-1.000000;96.688248;-96.688248
382;-1.000000;-1.000000;96.775383;-96.775383
383;-1.000000;-1.000000;96.861374;-96.861374
384;-1.000000;-1.000000;96.946220;-96.946220
385;-1.000000;-1.000000;97.029922;-97.029922
386;-1.000000;-1.000000;97.112480;-97.112480
387;-1.000000;-1.000000;97.193893;-97.193893
388;-1.000000;-1.000000;97.274155;-97.274155
389;-1.000000;-1.000000;97.353271;-97.353271
390;-1.000000;-1.000000;97.431236;-97.431236
391;-1.000000;-1.000000;97.508049;-97.508049
392;-1.000000;-1.000000;97.583710;-97.583710
393;-1.000000;-1.000000;97.658218;-97.658218
394;-1.000000;-1.000000;97.731575;-97.731575
395;-1.000000;-1.000000;97.803780;-97.803780
396;-1.000000;-1.000000;97.874825;-97.874825
397;-1.000000;-1.000000;97.944717;-97.944717
398;-1.000000;-1.000000;98.013451;-98.013451
399;-1.000000;-1.000000;98.081032;-98.081032
400;-1.000000;-1.000000;98.147446;-98.147446
401;-1.000000;-1.000000;98.212708;-98.212708
402;-1.000000;-1.000000;98.276810;-98.276810
403;-1.000000;-1.000000;98.339752;-98.339752
404;-1.000000;-1.000000;98.401527;-98.401527
405;-1.000000;-1.000000;98.462143;-98.462143
406;-1.000000;-1.000000;98.521599;-98.521599
407;-1.000000;-1.000000;98.579887;-98.579887
408;-1.000000;-1.000000;98.637016;-98.637016
409;-1.000000;-1.000000;98.692978;-98.692978
410;-1.000000;-1.000000;98.747772;-98.747772
411;-1.000000;-1.000000;98.801399;-98.801399
412;-1.000000;-1.000000;98.853867;-98.853867
413;-1.000000;-1.000000;98.905159;-98.905159
414;-1.000000;-1.000000;98.955284;-98.955284
415;-1.000000;-1.000000;99.004250;-99.004250
416;-1.000000;-1.000000;99.052032;-99.052032
417;-1.000000;-1.000000;99.098656;-99.098656
418;-1.000000;-1.000000;99.144104;-99.144104
419;-1.000000;-1.000000;99.188385;-99.188385
420;-1.000000;-1.000000;99.231491;-99.231491
421;-1.000000;-1.000000;99.273430;-99.273430
422;-1.000000;-1.000000;99.314194;-99.314194
423;-1.000000;-1.000000;99.353783;-99.353783
424;-1.000000;-1.000000;99.392197;-99.392197
425;-1.000000;-1.000000;99.429443;-99.429443
426;-1.000000;-1.000000;99.465515;-99.465515
427;-1.000000;-1.000000;99.500412;-99.500412
428;-1.000000;-1.000000;99.534126;-99.534126
429;-1.000000;-1.000000;99.566673;-99.566673
430;-1.000000;-1.000000;99.598038;-99.598038
431;-1.000000;-1.000000;99.628235;-99.628235
432;-1.000000;-1.000000;99.657249;-99.657249
433;-1.000000;-1.000000;99.685089;-99.685089
434;-1.000000;-1.000000;99.711754;-99.711754
435;-1.000000;-1.000000;99.737236;-99.737236
436;-1.000000;-1.000000;99.761543;-99.761543
437;-1.000000;-1.000000;99.784668;-99.784668
438;-1.000000;-1.000000;99.806618;-99.806618
439;-1.000000;-1.000000;99.827393;-99.827393
440;-1.000000;-1.000000;99.846985;-99.846985
441;-1.000000;-1.000000;99.865402;-99.865402
442;-1.000000;-1.000000;99.882629;-99.882629
443;-1.000000;-1.000000;99.898689;-99.898689
444;-1.000000;-1.000000;99.913559;-99.913559
445;-1.000000;-1.000000;99.927261;-99.927261
446;-1.000000;-1.000000;99.939774;-99.939774
447;-1.000000;-1.000000;99.951111;-99.951111
448;-1.000000;-1.000000;99.961266;-99.961266
449;-1.000000;-1.000000;99.970238;-99.970238
450;-1.000000;-1.000000;99.978027;-99.978027
451;-1.000000;-1.000000;99.984642;-99.984642
452;-1.000000;-1.000000;99.990074;-99.990074
453;-1.000000;-1.000000;99.994324;-99.994324
454;-1.000000;-1.000000;99.997398;-99.997398
455;-1.000000;-1.000000;99.999283;-99.999283
456;-1.000000;-1.000000;99.999992;-99.999992
457;-1.000000;-1.000000;99.999519;-99.999519
458;-1.000000;-1.000000;99.997871;-99.997871
